/// ДРАЙВЕР ФР 4.9.0.152
/// МОДЕЛЬ: ШТРИХ-МИНИ-ФР-К; №89754665
/// ВЕРСИЯ ПО ФР: A.4.7407 (07.07.2000)
/// ТЕКУЩАЯ ДАТА: 12.08.2009 19:33:46
// ТАБЛИЦА 1, ТИП И РЕЖИМ КАССЫ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
3,15,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,16,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,17,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,1
3,18,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,19,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,1
3,20,1,1,0,0,1,РАЗРЕШЕНИЕ ПЕРЕВОДА,0
3,1,2,1,0,1,31,ЧИСЛО,31
3,2,2,1,0,1,31,ЧИСЛО,27
3,3,2,1,0,1,31,ЧИСЛО,30
3,4,2,1,0,1,31,ЧИСЛО,26
3,5,2,1,0,1,31,ЧИСЛО,28
3,6,2,1,0,1,31,ЧИСЛО,31
3,7,2,1,0,1,31,ЧИСЛО,27
3,8,2,1,0,1,31,ЧИСЛО,30
3,9,2,1,0,1,31,ЧИСЛО,26
3,10,2,1,0,1,31,ЧИСЛО,29
3,11,2,1,0,1,31,ЧИСЛО,25
3,12,2,1,0,1,31,ЧИСЛО,28
3,13,2,1,0,1,31,ЧИСЛО,30
3,14,2,1,0,1,31,ЧИСЛО,26
3,15,2,1,0,1,31,ЧИСЛО,29
3,16,2,1,0,1,31,ЧИСЛО,25
3,17,2,1,0,1,31,ЧИСЛО,28
3,18,2,1,0,1,31,ЧИСЛО,31
3,19,2,1,0,1,31,ЧИСЛО,27
3,20,2,1,0,1,31,ЧИСЛО,25
3,1,3,1,0,1,12,МЕСЯЦ,3
3,2,3,1,0,1,12,МЕСЯЦ,10
3,3,3,1,0,1,12,МЕСЯЦ,3
3,4,3,1,0,1,12,МЕСЯЦ,10
3,5,3,1,0,1,12,МЕСЯЦ,3
3,6,3,1,0,1,12,МЕСЯЦ,10
3,7,3,1,0,1,12,МЕСЯЦ,3
3,8,3,1,0,1,12,МЕСЯЦ,10
3,9,3,1,0,1,12,МЕСЯЦ,3
3,10,3,1,0,1,12,МЕСЯЦ,10
3,11,3,1,0,1,12,МЕСЯЦ,3
3,12,3,1,0,1,12,МЕСЯЦ,10
3,13,3,1,0,1,12,МЕСЯЦ,3
3,14,3,1,0,1,12,МЕСЯЦ,10
3,15,3,1,0,1,12,МЕСЯЦ,3
3,16,3,1,0,1,12,МЕСЯЦ,10
3,17,3,1,0,1,12,МЕСЯЦ,3
3,18,3,1,0,1,12,МЕСЯЦ,10
3,19,3,1,0,1,12,МЕСЯЦ,3
3,20,3,1,0,1,12,МЕСЯЦ,10
3,1,4,15,1,1,12,ВРЕМЯ ГОДА,2002 ГОД ВЕСНА
3,2,4,15,1,1,12,ВРЕМЯ ГОДА,2002 ГОД ОСЕНЬ
3,3,4,15,1,1,12,ВРЕМЯ ГОДА,2003 ГОД ВЕСНА
3,4,4,15,1,1,12,ВРЕМЯ ГОДА,2003 ГОД ОСЕНЬ
3,5,4,15,1,1,12,ВРЕМЯ ГОДА,2004 ГОД ВЕСНА
3,6,4,15,1,1,12,ВРЕМЯ ГОДА,2004 ГОД ОСЕНЬ
3,7,4,15,1,1,12,ВРЕМЯ ГОДА,2005 ГОД ВЕСНА
3,8,4,15,1,1,12,ВРЕМЯ ГОДА,2005 ГОД ОСЕНЬ
3,9,4,15,1,1,12,ВРЕМЯ ГОДА,2006 ГОД ВЕСНА
3,10,4,15,1,1,12,ВРЕМЯ ГОДА,2006 ГОД ОСЕНЬ
3,11,4,15,1,1,12,ВРЕМЯ ГОДА,2007 ГОД ВЕСНА
3,12,4,15,1,1,12,ВРЕМЯ ГОДА,2007 ГОД ОСЕНЬ
3,13,4,15,1,1,12,ВРЕМЯ ГОДА,2008 ГОД ВЕСНА
3,14,4,15,1,1,12,ВРЕМЯ ГОДА,2008 ГОД ОСЕНЬ
3,15,4,15,1,1,12,ВРЕМЯ ГОДА,2009 ГОД ВЕСНА
3,16,4,15,1,1,12,ВРЕМЯ ГОДА,2009 ГОД ОСЕНЬ
3,17,4,15,1,1,12,ВРЕМЯ ГОДА,2010 ГОД ВЕСНА
3,18,4,15,1,1,12,ВРЕМЯ ГОДА,2010 ГОД ОСЕНЬ
3,19,4,15,1,1,12,ВРЕМЯ ГОДА,2011 ГОД ВЕСНА
3,20,4,15,1,1,12,ВРЕМЯ ГОДА,2011 ГОД ОСЕНЬ
// ТАБЛИЦА 4, ТЕКСТ В ЧЕКЕ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
4,1,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,2,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,3,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,4,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,5,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,6,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,7,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,8,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,9,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,10,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,11,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,12,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,13,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,14,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,15,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,16,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,17,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,18,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,19,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,20,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,21,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,22,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,23,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,24,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,25,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
4,26,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ СТРОКИ,
// ТАБЛИЦА 5, НАИМЕНОВАНИЕ ТИПОВ ОПЛАТЫ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
5,1,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ ТИПЫ ОПЛАТЫ,НАЛИЧНЫМИ
5,2,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ ТИПЫ ОПЛАТЫ,БЕЗНАЛ.
5,3,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ ТИПЫ ОПЛАТЫ,ПЛАТЕЖНЫЙ СЕРТИФИКАТ
5,4,1,60,1,1,12,ЗАПРОГРАММИРОВАННЫЕ ТИПЫ ОПЛАТЫ, 
// ТАБЛИЦА 6, НАЛОГОВЫЕ СТАВКИ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
6,1,1,2,0,0,9999,ВЕЛИЧИНА НАЛОГА,0
6,2,1,2,0,0,9999,ВЕЛИЧИНА НАЛОГА,0
6,3,1,2,0,0,9999,ВЕЛИЧИНА НАЛОГА,0
6,4,1,2,0,0,9999,ВЕЛИЧИНА НАЛОГА,0
6,1,2,60,1,0,9999,НАЗВАНИЕ НАЛОГА,НАЛОГ С ПРОДАЖ
6,2,2,60,1,0,9999,НАЗВАНИЕ НАЛОГА,НДС
6,3,2,60,1,0,9999,НАЗВАНИЕ НАЛОГА, 
6,4,2,60,1,0,9999,НАЗВАНИЕ НАЛОГА, 
// ТАБЛИЦА 7, НАИМЕНОВАНИЕ ОТДЕЛОВ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
7,1,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,2,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,3,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,4,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,5,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,6,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,7,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,8,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,9,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,10,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,11,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,12,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,13,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,14,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,15,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
7,16,1,60,1,0,9999,ЗАПРОГРАММИРОВАННЫЕ НАЗВАНИЯ СЕКЦИЙ,
// ТАБЛИЦА 8, НАСТРОЙКА ШРИФТОВ
// НОМЕР ТАБЛИЦЫ,РЯД,ПОЛЕ,РАЗМЕР ПОЛЯ,ТИП ПОЛЯ,МИН. ЗНАЧЕНИЕ, МАКС.ЗНАЧЕНИЕ, НАЗВАНИЕ,ЗНАЧЕНИЕ
8,1,1,1,0,1,7,ТЕКСТ В ЧЕКЕ,1
8,1,2,1,0,1,7,ЗАГОЛОВОК ЧЕКА,1
8,1,3,1,0,1,7,1 СТРОКА В ОПЕРАЦИИ,1
8,1,4,1,0,1,7,2 СТРОКА В ОПЕРАЦИИ,1
8,1,5,1,0,1,7,3 СТРОКА В ОПЕРАЦИИ,1
8,1,6,1,0,1,7,1 СТРОКА В СКИДКЕ,1
8,1,7,1,0,1,7,2 СТРОКА В СКИДКЕ,1
8,1,8,1,0,1,7,1 СТРОКА В НАДБАВКЕ,1
8,1,9,1,0,1,7,2 СТРОКА В НАДБАВКЕ,1
8,1,10,1,0,1,7,1 СТРОКА В СТОРНО СКИДКИ,1
8,1,11,1,0,1,7,2 СТРОКА В СТОРНО СКИДКИ,1
8,1,12,1,0,1,7,1 СТРОКА В СТОРНО НАДБАВКИ,1
8,1,13,1,0,1,7,2 СТРОКА В СТОРНО НАДБАВКИ,1
8,1,14,1,0,1,7,СТРОКА В ЗАКРЫТИИ ЧЕКА,1
8,1,15,1,0,1,7,СКИДКА В ЗАКРЫТИИ ЧЕКА,1
8,1,16,1,0,1,7,ВСЕГО В ЗАКРЫТИИ ЧЕКА,1
8,1,17,1,0,1,7,ИТОГ ЧЕКА,2
8,1,18,1,0,1,7,ТЕКСТ В ТИПЕ ОПЛАТЫ,1
8,1,19,1,0,1,7,ТЕКСТ В СДАЧЕ,1
8,1,20,1,0,1,7,ОБОРОТ ПО НАЛОГАМ,1
8,1,21,1,0,1,7,НАЛОГИ,1
8,1,22,1,0,1,7,РЕКЛАМНЫЙ ТЕКСТ 1 СТРОКА,1
